id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,Queen Anne,47.63628904,-122.3710252,Entire home/apt,85.00,1,207,2016-01-02,4.07,2,346,207,
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,Queen Anne,Queen Anne,47.63912312,-122.3656665,Entire home/apt,150.00,2,43,2015-12-29,1.48,6,291,43,
3308979,New Modern House-Amazing water view,16708587,Jill,Queen Anne,Queen Anne,47.62972413,-122.3694832,Entire home/apt,975.00,4,20,2015-09-03,1.15,2,220,20,
7421966,Queen Anne Chateau,9851441,Emily,Queen Anne,Queen Anne,47.6384732,-122.3692791,Entire home/apt,100.00,1,0,,,1,143,0,
278830,Charming craftsman 3 bdm house,1452570,Emily,Queen Anne,Queen Anne,47.6329184,-122.3724706,Entire home/apt,450.00,1,38,2015-10-24,0.89,1,365,38,
5956968,Private unit in a 1920s mansion,326758,Andrew,Queen Anne,Queen Anne,47.63052548,-122.3661741,Private room,120.00,1,17,2015-09-28,2.45,1,302,17,
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,Queen Anne,Queen Anne,47.63660545,-122.3685191,Private room,80.00,3,58,2015-12-07,2.46,1,346,58,
856550,Tiny Garden cabin on Queen Anne,4016632,Jean-Marc,Queen Anne,Queen Anne,47.64016054,-122.375856,Private room,60.00,2,173,2016-01-01,4.73,5,100,173,
4948745,Urban Charm || Downtown || Views,2166277,Aliza,Queen Anne,Queen Anne,47.6324103,-122.3572161,Private room,90.00,3,8,2015-08-17,1.22,1,341,8,
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,Queen Anne,Queen Anne,47.63749172,-122.3668886,Entire home/apt,150.00,2,32,2015-12-20,1.55,6,324,32,
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,Queen Anne,47.63548171,-122.3584778,Entire home/apt,95.00,3,181,2015-11-25,3.33,1,153,181,
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,Queen Anne,Queen Anne,47.63721408,-122.3600458,Entire home/apt,99.00,3,8,2015-12-16,0.98,1,229,8,
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,Queen Anne,,47.63554551,-122.3731708,Entire home/apt,245.00,3,13,2015-10-02,0.92,1,362,13,
